group_id,n_rows,accepted,reason,c_value,slope,intercept,rmse_log,synthetic_rows,split
state_0.130|0.540|0.500|0.025|0.016|8.960|1.050|0.010|0.100|0.050|0.010|0.005|0.023|0.013|0.000|0.100|0.000|0.010|0.000|1243.000|0.330|1133.000|0.500|1013.000|0.500,23,True,accepted,26.25,-5634.885263090648,36271.64486088525,0.20397083576332262,20,final_train
state_0.090|0.500|0.470|0.021|0.014|9.130|0.950|0.010|0.070|0.080|0.010|0.005|0.017|0.009|0.000|0.100|0.000|0.010|0.000|1173.000|0.660|1003.000|1.500|0.000|2.000,22,True,accepted,27.0,-6176.460518152957,38014.16676091679,0.21664067153016459,20,final_train
state_0.110|0.500|0.380|0.018|0.011|8.860|0.980|0.010|0.100|0.020|0.010|0.005|0.018|0.012|0.000|0.100|0.000|0.010|0.000|1243.000|0.330|1133.000|0.500|1013.000|1.000,21,True,accepted,25.75,-5765.513704710725,35907.53097299586,0.2175572685801633,20,final_train
state_0.098|0.540|0.420|0.022|0.013|9.030|0.990|0.010|0.110|0.080|0.010|0.005|0.017|0.009|0.000|0.100|0.000|0.010|0.000|1173.000|0.660|1003.000|1.500|0.000|2.000,21,True,accepted,26.5,-6103.71806104525,37437.69167257552,0.22942400333336244,20,final_train
state_0.120|0.860|0.490|0.015|0.002|8.890|1.000|0.010|0.047|0.050|0.010|0.005|0.018|0.009|0.000|0.100|0.000|0.010|0.000|1183.000|0.170|993.000|1.170|0.000|2.000,23,True,accepted,25.5,-6032.87414661875,36246.80200417156,0.1808266817858667,20,final_train
state_0.110|0.590|0.410|0.017|0.009|9.150|1.050|0.010|0.100|0.020|0.010|0.005|0.018|0.011|0.000|0.100|0.000|0.010|0.000|1243.000|0.330|1133.000|0.500|1013.000|0.500,22,True,accepted,26.5,-5794.991278810893,36732.06480147197,0.228215256749146,20,final_train
state_0.120|0.340|0.430|0.014|0.005|8.500|0.960|0.010|0.075|0.020|0.010|0.005|0.017|0.002|0.000|0.100|0.000|0.010|0.000|1183.000|0.170|993.000|1.170|0.000|2.000,23,True,accepted,24.0,-6155.974963439683,35039.3120171874,0.12790577673246312,20,final_train
state_0.007|0.079|0.490|0.002|0.001|8.920|0.470|0.860|0.200|0.050|0.235|0.052|0.142|0.002|0.000|0.015|0.000|0.010|0.000|1453.000|1.000|1073.000|2.000|0.000|2.000,8,True,accepted,17.75,-7097.846738130589,33121.537889684616,0.33504832960731357,8,final_train
state_0.006|0.079|0.480|0.003|0.001|9.070|0.480|0.840|0.200|0.050|0.238|0.066|0.155|0.002|0.000|0.015|0.000|0.035|0.000|1453.000|1.000|1053.000|2.000|0.000|2.000,8,True,accepted,20.0,-5905.3496959497925,32941.76264083695,0.2897734011145121,8,final_train
state_0.007|0.072|0.480|0.003|0.001|9.030|0.440|0.850|0.200|0.050|0.232|0.310|0.164|0.002|0.000|0.015|0.000|0.021|0.000|1453.000|1.000|1053.000|2.000|0.000|2.000,7,False,rmse_too_high,22.75,-6051.33054017922,36274.11129645232,0.4387986302587413,0,final_train
state_0.005|0.069|0.420|0.004|0.002|8.970|0.500|1.440|0.200|0.050|0.234|0.051|0.050|0.002|0.000|0.015|0.000|0.029|0.000|1453.000|1.000|1073.000|2.000|0.000|2.000,7,True,accepted,24.5,-8126.830108419028,41280.62295586098,0.25888532703063255,7,final_train
state_0.039|0.044|0.490|0.011|0.003|9.010|0.510|1.850|0.200|0.050|0.204|0.036|0.143|0.002|0.000|0.015|0.000|0.013|0.000|1423.000|1.000|1053.000|2.000|0.000|2.000,7,False,rmse_too_high,24.75,-5662.987637107421,37339.8597964079,0.48116656784379,0,final_train
state_0.006|0.074|0.480|0.003|0.001|9.080|0.480|1.520|0.200|0.050|0.238|0.060|0.165|0.002|0.000|0.015|0.000|0.020|0.000|1453.000|1.000|1073.000|2.000|0.000|2.000,7,True,accepted,11.0,-6186.297114641331,25158.97398916911,0.30379625418301465,7,final_train
state_0.004|0.070|0.480|0.004|0.001|9.120|0.490|1.550|0.200|0.050|0.234|0.277|0.162|0.002|0.000|0.015|0.000|0.023|0.000|1453.000|1.000|1073.000|2.000|0.000|2.000,7,False,rmse_too_high,17.25,-6281.94940224101,31341.672264869936,0.4296982305871382,0,final_train
state_0.008|0.076|0.490|0.002|0.001|9.110|0.480|1.380|0.200|0.050|0.236|0.312|0.117|0.002|0.000|0.015|0.000|0.017|0.000|1453.000|1.000|1073.000|2.000|0.000|2.000,8,True,accepted,22.5,-8554.47616757327,41203.03721115374,0.2539989884395862,8,final_train
state_0.100|0.300|0.490|0.001|0.003|8.960|0.100|0.010|0.200|0.050|0.010|0.005|0.001|0.005|0.000|0.015|0.000|0.009|0.000|1203.000|1.000|1023.000|1.000|0.000|2.000,12,True,accepted,13.5,-3776.221626613356,21514.61545891015,0.18243772212159173,12,final_train
state_0.101|0.290|0.480|0.001|0.004|9.010|0.100|0.990|0.200|0.050|0.010|0.005|0.001|0.005|0.000|0.015|0.000|0.011|0.000|1223.000|1.000|1023.000|1.000|0.000|2.000,13,True,accepted,20.0,-5314.39691750836,30761.482784314514,0.13678709064291394,13,final_train
state_0.100|0.280|0.480|0.001|0.003|8.920|0.100|1.920|0.200|0.050|0.010|0.005|0.002|0.005|0.000|0.015|0.000|0.012|0.000|1223.000|1.000|1023.000|1.000|0.000|2.000,10,True,accepted,26.25,-7045.922421158378,40570.4862297012,0.19425784990350234,10,final_train
state_0.101|0.290|0.500|0.001|0.002|9.090|0.100|3.930|0.200|0.050|0.010|0.005|0.002|0.005|0.000|0.015|0.000|0.006|0.000|1273.000|1.000|1073.000|1.000|0.000|2.000,13,True,accepted,19.5,-6081.229376364449,33207.920863847525,0.3078469023118235,13,final_train
state_0.168|0.300|0.500|0.001|0.002|9.160|0.100|3.080|0.200|0.050|0.160|0.005|0.003|0.005|0.007|0.015|0.100|0.003|0.000|1373.000|1.000|1073.000|1.000|0.000|2.000,5,False,too_few_temperatures,,,,,0,final_train
state_0.090|0.200|0.560|0.021|0.010|8.630|0.860|0.010|0.460|0.050|0.200|0.060|0.065|0.007|0.000|0.015|0.000|0.010|0.000|1333.000|1.000|1023.000|2.000|0.000|2.000,26,True,accepted,30.0,-8875.730872062888,48155.93595566485,0.2091539221238377,20,final_train
state_0.106|0.040|0.460|0.008|0.001|8.960|0.470|1.840|0.060|0.050|0.200|0.069|0.051|0.007|0.001|0.015|0.000|0.010|0.000|1338.000|2.000|1043.000|2.000|1013.000|4.000,14,True,accepted,25.25,-8457.021102626419,43943.16582906943,0.2275020158367334,14,final_train
state_0.106|0.040|0.460|0.008|0.001|8.960|0.470|1.840|0.060|0.050|0.200|0.069|0.051|0.007|0.001|0.015|0.000|0.010|0.000|1338.000|2.000|1043.000|2.000|1013.000|50.000,9,True,accepted,30.0,-9922.279077564359,50971.12258466226,0.16206670711042676,9,final_train
